tx_amount,time_since_last_tx_seconds,degree_centrality,historical_tx_count,in_out_ratio,sent_tnx,received_tnx,time_diff_mins,is_fraud
2.458,7953105.6,6,9,0.632,6,3,936622.48,0
0.9998,0.0,2,2,1.0004,1,1,948.73,0
0.2264,0.0,4,14,5.8857,0,13,250218.08,0
50.4998,9589.8,4,4,1.0,2,2,321.5,0
3429.4603,1323.0,839,16736,1.0,8901,7835,232149.93,0
0.3439,404200.8,73,89,1.0007,16,73,182217.27,0
7.4566,1041805.2,4,6,0.4417,4,2,77404.38,0
12.1233,0.0,2,2,1.0001,1,1,2259.65,0
50.4998,9611.4,4,4,1.0,2,2,320.68,0
0.6009,212.4,3,4,1.0007,2,2,6699.85,0
5.9429,0.0,5,48,558.6371,0,47,192602.83,0
75.7496,9160.2,3,3,1.0,2,1,305.33,0
2.3943,0.0,2,2,1.0002,1,1,20.93,0
67.3331,1374.6,4,4,1.0,3,1,68.72,0
2.0476,382.8,138,138,1.0002,68,70,205942.0,0
0.7068,0.0,2,2,1.0012,1,1,1.32,0
50.4998,9757.8,4,4,1.0,2,2,326.13,0
148.2445,4309.8,2858,10002,0.3385,5304,4698,511631.95,0
833.7498,215.4,5,5,1.0,3,2,10.78,0
6.2354,1570.8,3,8,1.0005,4,4,81986.35,0
7.8285,631.8,11,21,1.0001,9,12,24336.13,0
75.7498,9571.2,3,3,1.0,2,1,319.03,0
0.2158,144712.8,9,15,1.0285,11,4,365818.75,0
24.9775,229636.2,44,1624,1.0136,64,1560,1921036.52,0
67.3331,1366.2,4,4,1.0,3,1,68.3,0
0.2333,29098.2,34,39,1.0024,22,17,237790.27,0
1.4584,988359.6,34,65,0.9776,45,20,915822.2,0
0.335,0.0,3,161,107.209,0,160,319320.53,0
833.7498,112.8,5,5,1.0,3,2,5.65,0
22.6252,22065.0,99,1329,0.4425,1259,69,868228.45,0
1.3662,0.0,2,2,1.011,1,1,14.38,0
0.787,329250.0,12,42,1.4181,14,28,705882.98,0
0.1454,150966.6,20,39,1.0021,12,27,306025.43,0
127.25,0.0,2,3,509.0,0,2,88326.87,0
0.2997,0.0,2,2,1.0021,1,1,253.25,0
75.7498,9831.0,3,3,1.0,2,1,327.7,0
1.4662,0.0,2,2,1.0003,1,1,5.95,0
833.7498,93.6,5,5,1.0,3,2,4.68,0
0.9998,0.0,2,2,1.0004,1,1,259478.57,0
0.1203,0.0,5,77,18.2804,0,76,209930.78,0
0.5933,0.0,4,85,99.6764,0,84,319340.05,0
50.4998,9696.6,4,4,1.0,2,2,325.1,0
34.0648,0.0,5,19,1000.0,0,18,208695.6,0
0.108,444.0,2,82,1.0039,41,41,80078.27,0
11.2957,8188.2,5,6,1.0,4,2,964896.88,0
0.1095,0.0,5,83,17.9653,0,82,547962.18,0
0.3928,0.0,3,25,18.8548,0,24,291444.33,0
2.6074,521466.0,4,5,1.0001,2,3,32323.4,0
0.2017,0.0,5,119,47.6085,0,118,283905.73,0
0.0556,0.0,4,144,15.9,0,143,192590.77,0
6.2438,1089117.0,9,12,1.0001,7,5,273204.15,0
67.3331,1300.8,4,4,1.0,3,1,65.03,0
833.7498,81.0,5,5,1.0,3,2,5.4,0
50.4997,9693.0,4,4,1.0,2,2,324.73,0
2.2485,342.6,4,5,1.0004,2,3,17134.32,0
9.9998,0.0,2,2,1.0,1,1,5.8,0
0.2253,0.0,2,2,1.0022,1,1,39.47,0
750.3748,288.6,6,6,1.0,4,2,19.25,0
67.3331,6209.4,4,4,1.0,3,1,310.48,0
75.7498,9634.8,3,3,1.0,2,1,321.17,0
0.9885,184201.8,33,74,0.8235,51,23,974378.8,0
50.4998,9622.8,4,4,1.0,2,2,321.95,0
5.7639,13917.6,7,17,1.0002,8,9,1010987.1,0
833.7498,377.4,5,5,1.0,3,2,18.87,0
0.6528,0.0,7,276,359.062,0,275,226756.63,0
0.1623,1226245.8,13,18,0.3398,15,3,447735.1,0
0.3809,0.0,2,2,1.0016,1,1,2257.95,0
6.8996,386.4,2,10,1.0001,5,5,412.35,0
63.1247,957.0,5,5,1.0,4,1,63.8,0
1.1157,0.0,2,2,1.002,1,1,96.47,0
0.4197,0.0,5,73,60.437,0,72,244519.93,0
0.2013,55.8,5,128,1.0042,64,64,111991.72,0
0.4271,0.0,6,118,99.9494,0,117,283910.03,0
0.0,0.0,1,1624,0.0,0,1624,310191.97,0
10.791,1034.4,4,407,1.0003,203,204,293206.6,0
39.9338,197652.6,107,236,1.0145,129,107,1007930.98,0
0.3261,1122.0,4,2121,1.0013,1058,1063,408109.47,0
0.0097,0.0,2,2,1.0617,1,1,24.2,0
0.1803,0.0,2,2,1.0051,1,1,3.73,0
0.8637,569.4,5,98,1.003,47,51,577697.67,0
2.1997,0.0,2,2,1.0002,1,1,74.32,0
50.4998,9597.6,4,4,1.0,2,2,321.12,0
833.7498,193.8,5,5,1.0,3,2,9.68,0
1.0338,8098.2,2,208,1.0022,103,105,898837.57,0
0.9222,0.0,1,1,1.8445,0,1,0.0,0
0.555,1705484.4,19,25,1.0026,16,9,663716.47,0
0.1078,19741.2,3,85,1.0039,42,43,95469.27,0
37.8738,0.0,2,17,1000.0,0,16,52953.02,0
0.0477,691.2,2,70,1.0098,35,35,314180.58,0
75.7498,9835.8,3,3,1.0,2,1,327.87,0
67.3331,1330.8,4,4,1.0,3,1,66.55,0
17.7123,81805.2,12,435,1.0,34,401,790629.43,0
1.2227,0.0,1,2,2.4454,0,1,10.03,0
0.1523,0.0,6,92,27.7215,0,91,585677.32,0
0.0045,0.0,3,3,0.018,1,2,1610.6,0
1.0931,0.0,2,2,1.0005,1,1,21.48,0
12.2344,7867514.4,7,9,110.612,2,7,658299.15,0
1.2654,182221.8,7,9,1.0003,4,5,76156.38,0
0.5439,0.0,4,140,151.216,0,139,228994.25,0
7.1219,1674981.6,4,14,1.0001,6,8,189102.7,0
0.2676,0.0,3,57,29.9742,0,56,226758.45,0
0.2266,0.0,4,58,25.8367,0,57,338100.62,0
833.7498,313.2,5,5,1.0,3,2,15.67,0
0.2696,0.0,2,2,1.0018,1,1,3.73,0
10.1718,0.0,2,2,1.0,1,1,14.03,0
42.083,1431.6,5,5,1.0,3,2,72.55,0
9.9989,0.0,2,2,1.0002,1,1,71.75,0
0.9997,0.0,2,2,1.0006,1,1,330.62,0
0.1797,0.0,2,2,1.0035,1,1,598.23,0
32.906,16591.8,56,188,1.0,105,83,203015.42,0
50.4997,9969.6,4,4,1.0,2,2,332.73,0
64.8671,0.0,2,2,1.0,1,1,2.8,0
0.0823,126252.6,5,5,1.0098,3,2,17157.67,0
1.0539,6363.6,5,199,1.0008,99,100,791365.95,0
37.8748,4821.0,5,6,1.0,4,2,323.08,0
50.4997,9916.2,4,4,1.0,2,2,331.93,0
11.5429,2209.2,3,48,1.0,24,24,55167.15,0
2.3281,123598.8,18,113,0.999,55,58,575636.87,0
0.4468,0.0,2,31,26.8086,0,30,226777.48,0
0.295,0.0,2,2,1.0036,1,1,48.88,0
42.0831,1430.4,5,5,1.0,3,2,71.9,0
0.3291,0.0,2,2,1.0017,1,1,1.58,0
67.3331,1099.2,4,4,1.0,3,1,54.97,0
27.1371,0.0,2,25,1000.0,0,24,204962.67,0
0.5737,1188913.2,15,20,0.6367,14,6,917999.92,0
7.5,368.4,1372,13128,1000.0,9997,3,61584.9,0
4.4744,511313.4,36,82,1.0005,66,16,681582.07,0
42.0831,1413.0,5,5,1.0,3,2,71.53,0
0.0632,0.0,1,1,0.1264,0,1,0.0,0
833.7498,74.4,5,5,1.0,3,2,3.87,0
85.8436,1931072.4,7,10,1.0,3,7,417584.63,0
1.0698,253346.4,6,48,1.0002,3,45,68666.87,0
75.7498,9463.8,3,3,1.0,2,1,315.47,0
75.7497,1591.2,3,3,1.0,2,1,53.03,0
0.0497,0.0,2,2,1.0126,1,1,382.15,0
50.4998,9693.0,4,4,1.0,2,2,324.37,0
0.1422,0.0,2,2,1.0044,1,1,12.82,0
833.7498,67.2,5,5,1.0,3,2,3.52,0
0.9277,2086950.0,5,14,1.0019,7,7,607484.77,0
0.0618,0.0,2,2,1.0101,1,1,2312.95,0
833.7498,217.2,5,5,1.0,3,2,10.87,0
0.4008,0.0,5,84,66.5389,0,83,283913.38,0
0.109,0.0,2,2,1.0072,1,1,5.8,0
3.4984,18313.2,8,8,1.0001,5,3,794993.12,0
1.703,61.8,15,32,1.0005,16,16,199020.9,0
0.2093,2350358.4,6,7,1.0012,2,5,341341.32,0
50.4998,9791.4,4,4,1.0,2,2,327.12,0
1.32,1780410.0,15,28,1.011,22,6,710352.4,0
5.9995,0.0,2,2,1.0002,1,1,57.7,0
3.1107,5759840.4,12,13,1.0114,8,5,889416.88,0
0.4548,34216.2,4,6,1.638,2,4,323969.2,0
12.8081,495168.6,9,64,1.0,16,48,801929.58,0
0.8437,0.0,3,141,236.2254,0,140,226752.87,0
24.3816,273571.2,55,110,0.988,73,37,755957.72,0
833.7498,74.4,5,5,1.0,3,2,3.87,0
4.0178,313024.2,104,184,0.9126,127,57,994303.05,0
3.2477,76899.0,139,226,1.0003,128,98,254225.08,0
31.8871,148.8,4,8,1.0,4,4,14650.52,0
0.1168,0.0,4,170,39.4878,0,169,518476.32,0
1.9797,1668318.6,18,29,0.7827,21,8,955991.27,0
2.0093,64425.6,9,21,1.0015,16,5,24563.1,0
0.433,248.4,4,4,1.002,2,2,16990.2,0
54.3844,1494.0,13,14,1.0001,13,1,323.72,0
0.4703,0.0,4,88,81.8379,0,87,226771.23,0
75.7498,9630.6,3,3,1.0,2,1,321.02,0
4.4171,3450.6,14,5075,0.3383,5051,24,980450.8,0
2.6207,0.0,6,12,57.6561,0,11,116034.77,0
31.7213,47657.4,4,867,1.0,67,800,478627.65,0
42.0831,1442.4,5,5,1.0,3,2,74.15,0
0.2512,861244.8,11,111,1.0012,11,100,443352.32,0
1.9456,0.0,2,3,1.0003,1,2,15909.2,0
2.1788,19659.0,12,32,1.0046,29,3,10046.77,0
33.6664,6612.0,6,6,1.0,3,3,330.63,0
75.7498,9799.2,3,3,1.0,2,1,326.65,0
0.3697,0.0,4,44,31.7933,0,43,291475.3,0
17.2552,126355.2,135,393,0.9787,237,156,1026242.37,0
25.3983,0.0,2,2,1.0,1,1,55.38,0
75.7498,9499.8,3,3,1.0,2,1,316.65,0
50.4997,9812.4,4,4,1.0,2,2,331.1,0
74.0348,137016.0,8,115,1.0,60,55,1542761.22,0
2.0799,0.0,2,2,1.0003,1,1,9.2,0
14.1976,58344.6,4,5,0.995,2,3,2597.05,0
0.3436,0.0,5,120,81.7665,0,119,193608.57,0
5.6329,894941.4,11,228,1.049,9,219,990952.88,0
16.367,154.8,17,172,0.9976,81,91,298210.97,0
50.4997,9807.0,4,4,1.0,2,2,326.93,0
0.0747,456924.6,10,23,0.9483,13,10,321526.67,0
42.0831,1450.8,5,5,1.0,3,2,73.22,0
0.2462,766.8,3,140,1.0026,70,70,629558.2,0
67.3331,1993.2,4,4,1.0,3,1,99.67,0
0.701,157.8,739,1992,1.0007,1098,894,25653.48,0
0.7649,102880.2,3,33,1.0009,14,19,158290.03,0
1.9997,0.0,2,2,1.0003,1,1,255.4,0
70.0077,587346.0,5,27,1.0,10,17,259401.85,0
21.9997,0.0,2,2,1.0,1,1,12.98,0
2.1653,109173.6,225,561,0.9277,401,160,982742.9,0
282.1623,151.2,4,4,1.0,3,1,7.57,0
0.2049,0.0,3,127,51.6259,0,126,226784.0,0
0.9997,0.0,2,2,1.0006,1,1,7.87,0
75.7497,1390.8,3,3,1.0,2,1,46.37,0
0.1011,918.6,4,2904,1.004,1407,1497,796393.9,0
178.3522,0.0,228,325,1000.0,0,324,37944.27,0
0.1112,0.0,2,2,1.02,1,1,180.02,0
5.7458,1154680.2,3,3,1.1393,2,1,38489.35,0
50.4997,9759.6,4,4,1.0,2,2,327.37,0
42.8328,1363.2,5,5,0.9574,3,2,341695.82,0
75.7496,9325.2,3,3,1.0,2,1,310.83,0
1.6712,2207.4,5,1069,0.9949,533,536,883783.62,0
0.3903,1727639.4,29,42,1.0881,32,10,995280.68,0
0.4497,0.0,3,141,125.9215,0,140,200110.12,0
0.1873,27855.6,6,32,1.0792,14,18,615209.03,0
1.1329,7954.8,7,372,1.0007,184,188,642143.43,0
42.0831,6506.4,4,5,1.0,3,2,326.97,0
0.2599,0.0,2,2,1.0024,1,1,2350.32,0
1.6527,165298.2,5,214,1.0002,90,124,563551.12,0
1.1882,28998.6,4,4,0.9328,2,2,1547.22,0
0.2998,0.0,2,2,1.0015,1,1,260605.87,0
0.6245,0.0,5,154,191.1084,0,153,319309.53,0
2.9997,0.0,2,2,1.0002,1,1,674.95,0
0.0893,0.0,3,116,20.5367,0,115,226788.17,0
0.0973,0.0,2,2,1.0052,1,1,51.95,0
0.2352,0.0,2,5,46.0064,1,4,4330.22,0
3.6684,21508.2,5,6,1.0005,3,3,265214.08,0
0.1718,0.0,3,115,39.1598,0,114,201114.6,0
0.031,167784.6,6,9,1.0354,6,3,130590.05,0
93.4907,47637.0,9,23,1.0,11,12,803589.3,0
0.5338,185574.6,12,87,1.6739,11,76,776995.78,0
1.0087,1762.2,2,1664,1.0008,829,835,1256144.62,0
67.3331,1367.4,4,4,1.0,3,1,68.37,0
1.5461,0.0,3,3,1.0032,1,2,1339.3,0
0.1262,0.0,5,129,32.3198,0,128,319318.58,0
0.9325,2710.2,6,1149,1.0012,513,636,843756.35,0
4.5357,0.0,4,10,81.6428,0,9,88347.02,0
833.7498,262.8,5,5,1.0,3,2,13.15,0
833.7498,288.0,5,5,1.0,3,2,15.1,0
1.0118,3566.4,2,831,1.0012,408,423,906247.85,0
50.4997,9530.4,4,4,1.0,2,2,324.73,0
0.0,0.0,2710,10000,0.6169,0,9999,87988.67,0
1.4462,315403.8,28,49,1.0026,40,8,251870.42,0
4.2907,70564.2,29,89,0.9146,61,28,141805.97,0
1.3091,1183.2,6,217,1.0011,108,109,394304.23,0
4.5412,10000000.0,4,4,1.0003,3,1,501071.13,0
0.7275,0.0,2,2,2.91,0,2,60237.23,0
5.5286,147.0,3,8,1.0001,4,4,102140.12,0
1.8645,273624.0,115,225,0.9845,175,50,980145.68,0
3.3815,804.6,3,4,1.0027,2,2,3391.85,0
1.2498,133.2,5,8,1.0004,4,4,9994.67,0
1.1008,589.8,7,11,1.0007,5,6,191451.85,0
1.3649,36747.6,2,7,1.0002,3,4,7270.62,0
0.1381,665.4,4,367,1.011,183,184,399864.47,0
1.0993,0.0,2,2,1.0013,1,1,4.17,0
0.8959,2489.4,7,744,1.003,370,374,1284742.27,0
73.7725,117.6,3,3,1.0,2,1,3.92,0
0.3214,0.0,3,4,1.8215,1,3,386465.55,0
1.8869,0.0,3,37,2.8156,1,36,601025.25,0
0.6596,282023.4,4,42,1.0069,16,26,190001.52,0
12.7654,238.2,8,16,1.0001,8,8,62320.25,0
4.9994,0.0,2,2,1.0003,1,1,41008.07,0
355.7331,113.4,48,48,1.0,3,45,6.23,0
50.4998,9628.8,4,4,1.0,2,2,322.35,0
0.0026,415.2,3,60,1.3722,29,31,209176.72,0
23.1683,0.0,4,18,787.7215,0,17,100474.43,0
1.5486,0.0,2,2,1.0003,1,1,42393.82,0
0.2626,189.0,2,137,1.0037,68,69,408137.83,0
2.0112,462.6,5,11,1.003,4,7,113631.18,0
75.7498,9447.6,3,3,1.0,2,1,314.92,0
50.4998,9670.2,4,4,1.0,2,2,322.95,0
0.0605,9369.6,5,172,1.0069,85,87,267755.22,0
13.9815,1528.8,8,123,1.0001,59,64,54540.67,0
31.6361,1160.4,15,4112,1.0,1999,2113,1891169.67,0
22.5372,1343273.4,3,6,1.0,4,2,89561.72,0
12.5495,327865.2,14,34,1.0,6,28,536981.08,0
4.1805,0.0,2,5,33.4439,0,4,230217.02,0
0.4982,4177.8,3,4,1.0009,2,2,356.88,0
0.387,18619.8,7,291,1.0011,124,167,874362.07,0
4.7009,9650.4,6,8,0.0246,5,3,553557.55,0
67.3331,1306.2,4,4,1.0,3,1,65.32,0
0.4071,181.2,4,5,1.0011,2,3,17139.98,0
3.6155,374323.2,54,920,1.0001,53,867,1420408.97,0
833.7498,112.8,5,5,1.0,3,2,6.45,0
2.8852,171822.0,31,71,1.0003,39,32,352296.45,0
0.9475,0.0,2,2,1.1056,1,1,145464.3,0
3.1531,585397.2,11,19,1.0009,14,5,422328.02,0
0.6341,421.2,3,242,1.0018,121,121,176465.8,0
52.8179,742230.6,9,19,0.9803,10,9,154447.4,0
3.524,0.0,7,19,126.8644,0,18,226762.55,0
0.2304,0.0,3,125,57.1339,0,124,226748.1,0
1.5292,2262231.6,25,35,0.889,25,10,976006.65,0
1.9993,0.0,2,2,1.0002,1,1,3.92,0
0.4331,0.0,5,228,196.6151,0,227,391343.0,0
750.3748,124.2,6,6,1.0,4,2,8.27,0
3.8477,1305589.2,3,5,1.0001,2,3,49806.58,0
0.1165,0.0,2,108,24.9316,0,107,226755.1,0
17.5,0.0,1,1,35.0,0,1,0.0,0
75.7498,9306.0,3,3,1.0,2,1,310.2,0
0.8866,454524.0,16,20,1.0007,14,6,890010.87,0
85.1444,54330.6,9,136,1.0,64,72,1017593.9,0
6.9215,143147.4,13,17,1.0003,12,5,880400.3,0
42.0831,1210.2,5,5,1.0,3,2,68.37,0
6.3873,391.8,7,13,1.0001,6,7,96160.73,0
10.7772,54096.6,30,126,0.2719,81,45,149730.1,0
0.089,14863.2,10,17,1.0082,8,9,286816.02,0
3.1475,853.8,16,1393,1.0003,681,712,562039.25,0
0.3108,0.0,2,2,1.0071,1,1,102.15,0
0.1412,0.0,6,113,31.6265,0,112,291464.55,0
75.7498,9463.8,3,3,1.0,2,1,315.47,0
42.0831,1556.4,5,5,1.0,3,2,78.4,0
2.7716,1001.4,6,380,1.0002,187,193,293094.58,0
130.4585,357.0,18,285,1.0,139,146,398398.52,0
4.7847,0.0,2,12,105.2638,0,11,132996.78,0
0.7674,8890.8,5,297,1.0045,107,190,1198237.45,0
50.4997,9673.8,4,4,1.0,2,2,324.1,0
14.8825,748.8,3,8,1.0,4,4,1296.6,0
528.7657,1479.6,1419,10000,1.0033,180,9820,146014.17,0
50.4998,9642.0,4,4,1.0,2,2,324.97,0
67.3331,1433.4,4,4,1.0,3,1,71.68,0
31.7077,0.0,4,14,824.4,0,13,130750.77,0
6.0421,3714.6,10,800,0.9736,412,388,674926.03,0
750.3748,111.0,6,6,1.0,4,2,7.53,0
26.0836,952914.6,40,50,1.0001,11,39,996954.07,0
5.2659,15831.0,11,58,0.5482,53,5,148629.67,0
42.0831,1272.0,5,5,1.0,3,2,69.0,0
1.384,5257671.6,2,8,1.0002,3,5,332838.28,0
4.448,1230739.8,15,17,1.0002,8,9,307003.17,0
1.7999,0.0,2,2,1.0001,1,1,6239.67,0
42.0831,9657.6,5,5,1.0,2,3,322.5,0
67.3331,1443.0,4,4,1.0,3,1,72.15,0
185.675,2427656.4,6,25,1.0,13,12,1002497.0,0
4.9985,0.0,2,2,1.0006,1,1,97.55,0
6.4296,153.0,4,14,1.0002,7,7,301013.98,0
0.0988,0.0,3,99,19.3661,0,98,226775.5,0
0.0,0.0,3,10000,0.0,0,9999,15746.02,0
3.1072,0.0,3,6,31.0724,0,5,88331.55,0
0.4496,1755619.8,3,3,1.0027,2,1,58520.67,0
18.7522,7144665.0,11,13,1.0005,3,10,885117.53,0
0.0998,0.0,2,2,1.0042,1,1,173.47,0
